time,soma
33.0758 ,-68.8774
33.5392 ,-68.1934
34.3183 ,-67.0034
35.0974 ,-65.7802
35.8765 ,-64.541
36.6556 ,-63.2959
37.4347 ,-62.0449
38.2138 ,-60.7652
38.9929 ,-59.4003
39.772  ,-57.8377
39.9668 ,-57.3806
40.1616 ,-56.8678
40.3563 ,-56.2895
40.5511 ,-55.6251
40.7459 ,-54.8338
40.9407 ,-53.8453
41.1354 ,-52.543
41.1841 ,-52.147
41.2328 ,-51.7114
41.2815 ,-51.2306
41.3836 ,-50.0364
41.4381 ,-49.2698
41.4926 ,-48.385
41.5471 ,-47.3502
41.6016 ,-46.1245
41.6561 ,-44.6515
41.6888 ,-43.6188
41.7215 ,-42.4461
41.7541 ,-41.1056
41.7868 ,-39.5617
41.8194 ,-37.7712
41.8521 ,-35.6796
41.8848 ,-33.2184
41.9174 ,-30.3035
41.9378 ,-28.2098
41.9582 ,-25.8726
41.9786 ,-23.2638
41.999  ,-20.3552
42.0194 ,-17.1219
42.0398 ,-13.5462
42.0602 ,-9.62531
42.0806 ,-5.37448
42.0924 ,-2.76666
42.1043 ,-0.0770316
42.1161 ,2.67507
42.128  ,5.46597
42.1399 ,8.2679
42.1517 ,11.0498
42.1636 ,13.7786
42.1754 ,16.4207
42.1873 ,18.9438
42.1991 ,21.3187
42.211  ,23.521
42.2229 ,25.5321
42.2347 ,27.3396
42.2466 ,28.9382
42.2584 ,30.3285
42.2703 ,31.517
42.2822 ,32.5139
42.294  ,33.3329
42.3059 ,33.9894
42.3177 ,34.4994
42.3296 ,34.8792
42.3414 ,35.144
42.3533 ,35.3084
42.3652 ,35.385
42.377  ,35.3854
42.3889 ,35.3195
42.4007 ,35.1959
42.4126 ,35.0219
42.4244 ,34.8037
42.4363 ,34.5466
42.4482 ,34.255
42.46   ,33.9327
42.4719 ,33.5829
42.4837 ,33.2084
42.4956 ,32.8116
42.5074 ,32.3947
42.5193 ,31.9594
42.5312 ,31.5072
42.543  ,31.0397
42.5549 ,30.5581
42.5667 ,30.0632
42.5786 ,29.5563
42.5904 ,29.0381
42.6023 ,28.5093
42.6142 ,27.9707
42.626  ,27.4231
42.6379 ,26.8669
42.6497 ,26.3029
42.6616 ,25.7316
42.6734 ,25.1536
42.6853 ,24.5695
42.6972 ,23.9796
42.709  ,23.3846
42.7285 ,22.3988
42.7479 ,21.4022
42.7673 ,20.3963
42.7868 ,19.3827
42.8062 ,18.3628
42.8257 ,17.3378
42.8451 ,16.309
42.8821 ,14.347
42.9489 ,10.7932
42.9935 ,8.42794
43.0382 ,6.07792
43.0828 ,3.74934
43.1275 ,1.44693
43.1721 ,-0.826155
43.2168 ,-3.06768
43.2614 ,-5.27599
43.3061 ,-7.45008
43.3507 ,-9.58957
43.4249 ,-13.0685
43.4991 ,-16.4565
43.5733 ,-19.7606
43.6474 ,-22.9917
43.7216 ,-26.1649
43.7958 ,-29.3019
43.87   ,-32.4313
43.9442 ,-35.5913
44.0183 ,-38.8297
44.0925 ,-42.2026
44.1667 ,-45.7689
44.2409 ,-49.5724
44.2917 ,-52.3222
44.3426 ,-55.1671
44.3934 ,-58.056
44.4443 ,-60.9106
44.4951 ,-63.6243
44.546  ,-66.0852
44.58   ,-67.5406
44.6139 ,-68.8254
44.6479 ,-69.9356
44.6819 ,-70.8766
44.7159 ,-71.6611
44.7499 ,-72.3064
44.7838 ,-72.8318
44.8178 ,-73.2565
44.8518 ,-73.5975
44.8858 ,-73.8699
44.9198 ,-74.0862
44.9538 ,-74.2568
44.9877 ,-74.3904
45.0217 ,-74.4936
45.0557 ,-74.5723
45.0897 ,-74.6309
45.1237 ,-74.6732
45.1576 ,-74.7024
45.1916 ,-74.7209
45.2256 ,-74.7308
45.2596 ,-74.7339
45.2936 ,-74.7316
45.3449 ,-74.7202
45.3961 ,-74.7018
45.4474 ,-74.6785
45.4987 ,-74.6516
45.55   ,-74.6222
45.6013 ,-74.5909
45.6789 ,-74.5409
45.7566 ,-74.4888
45.8342 ,-74.435
45.9119 ,-74.3799
45.9896 ,-74.3236
46.1651 ,-74.1928
46.3406 ,-74.0574
46.5161 ,-73.9176
46.6916 ,-73.7735
46.9958 ,-73.5132
47.4632 ,-73.0859
47.9306 ,-72.6254
48.398  ,-72.1311
48.8654 ,-71.603
49.3328 ,-71.0412
49.8002 ,-70.4468
50.2677 ,-69.8218
50.7351 ,-69.1687
51.2025 ,-68.4909
51.6699 ,-67.7923
52.1373 ,-67.0771
